id;wkt;TileX;TileY;TileZ
1;POLYGON ((28.1744384765625 -3.054125162910836 0,28.175811767578125 -3.054125162910836 0,28.175811767578125 -3.055496502495956 0,28.1744384765625 -3.055496502495956 0,28.1744384765625 -3.054125162910836 0));151588;133297;18
2;POLYGON ((28.175811767578125 -3.054125162910836 0,28.17718505859375 -3.054125162910836 0,28.17718505859375 -3.055496502495956 0,28.175811767578125 -3.055496502495956 0,28.175811767578125 -3.054125162910836 0));151589;133297;18
3;POLYGON ((28.17718505859375 -3.054125162910836 0,28.178558349609375 -3.054125162910836 0,28.178558349609375 -3.055496502495956 0,28.17718505859375 -3.055496502495956 0,28.17718505859375 -3.054125162910836 0));151590;133297;18
4;POLYGON ((28.178558349609375 -3.054125162910836 0,28.179931640625 -3.054125162910836 0,28.179931640625 -3.055496502495956 0,28.178558349609375 -3.055496502495956 0,28.178558349609375 -3.054125162910836 0));151591;133297;18
5;POLYGON ((28.179931640625 -3.054125162910836 0,28.181304931640625 -3.054125162910836 0,28.181304931640625 -3.055496502495956 0,28.179931640625 -3.055496502495956 0,28.179931640625 -3.054125162910836 0));151592;133297;18
6;POLYGON ((28.181304931640625 -3.054125162910836 0,28.18267822265625 -3.054125162910836 0,28.18267822265625 -3.055496502495956 0,28.181304931640625 -3.055496502495956 0,28.181304931640625 -3.054125162910836 0));151593;133297;18
7;POLYGON ((28.18267822265625 -3.054125162910836 0,28.184051513671875 -3.054125162910836 0,28.184051513671875 -3.055496502495956 0,28.18267822265625 -3.055496502495956 0,28.18267822265625 -3.054125162910836 0));151594;133297;18
8;POLYGON ((28.184051513671875 -3.054125162910836 0,28.1854248046875 -3.054125162910836 0,28.1854248046875 -3.055496502495956 0,28.184051513671875 -3.055496502495956 0,28.184051513671875 -3.054125162910836 0));151595;133297;18
9;POLYGON ((28.1854248046875 -3.054125162910836 0,28.186798095703125 -3.054125162910836 0,28.186798095703125 -3.055496502495956 0,28.1854248046875 -3.055496502495956 0,28.1854248046875 -3.054125162910836 0));151596;133297;18
10;POLYGON ((28.186798095703125 -3.054125162910836 0,28.18817138671875 -3.054125162910836 0,28.18817138671875 -3.055496502495956 0,28.186798095703125 -3.055496502495956 0,28.186798095703125 -3.054125162910836 0));151597;133297;18
11;POLYGON ((28.1744384765625 -3.055496502495956 0,28.175811767578125 -3.055496502495956 0,28.175811767578125 -3.056867840329076 0,28.1744384765625 -3.056867840329076 0,28.1744384765625 -3.055496502495956 0));151588;133298;18
12;POLYGON ((28.175811767578125 -3.055496502495956 0,28.17718505859375 -3.055496502495956 0,28.17718505859375 -3.056867840329076 0,28.175811767578125 -3.056867840329076 0,28.175811767578125 -3.055496502495956 0));151589;133298;18
13;POLYGON ((28.17718505859375 -3.055496502495956 0,28.178558349609375 -3.055496502495956 0,28.178558349609375 -3.056867840329076 0,28.17718505859375 -3.056867840329076 0,28.17718505859375 -3.055496502495956 0));151590;133298;18
14;POLYGON ((28.178558349609375 -3.055496502495956 0,28.179931640625 -3.055496502495956 0,28.179931640625 -3.056867840329076 0,28.178558349609375 -3.056867840329076 0,28.178558349609375 -3.055496502495956 0));151591;133298;18
15;POLYGON ((28.179931640625 -3.055496502495956 0,28.181304931640625 -3.055496502495956 0,28.181304931640625 -3.056867840329076 0,28.179931640625 -3.056867840329076 0,28.179931640625 -3.055496502495956 0));151592;133298;18
16;POLYGON ((28.181304931640625 -3.055496502495956 0,28.18267822265625 -3.055496502495956 0,28.18267822265625 -3.056867840329076 0,28.181304931640625 -3.056867840329076 0,28.181304931640625 -3.055496502495956 0));151593;133298;18
17;POLYGON ((28.18267822265625 -3.055496502495956 0,28.184051513671875 -3.055496502495956 0,28.184051513671875 -3.056867840329076 0,28.18267822265625 -3.056867840329076 0,28.18267822265625 -3.055496502495956 0));151594;133298;18
18;POLYGON ((28.184051513671875 -3.055496502495956 0,28.1854248046875 -3.055496502495956 0,28.1854248046875 -3.056867840329076 0,28.184051513671875 -3.056867840329076 0,28.184051513671875 -3.055496502495956 0));151595;133298;18
19;POLYGON ((28.1854248046875 -3.055496502495956 0,28.186798095703125 -3.055496502495956 0,28.186798095703125 -3.056867840329076 0,28.1854248046875 -3.056867840329076 0,28.1854248046875 -3.055496502495956 0));151596;133298;18
20;POLYGON ((28.186798095703125 -3.055496502495956 0,28.18817138671875 -3.055496502495956 0,28.18817138671875 -3.056867840329076 0,28.186798095703125 -3.056867840329076 0,28.186798095703125 -3.055496502495956 0));151597;133298;18
21;POLYGON ((28.1744384765625 -3.056867840329076 0,28.175811767578125 -3.056867840329076 0,28.175811767578125 -3.058239176409387 0,28.1744384765625 -3.058239176409387 0,28.1744384765625 -3.056867840329076 0));151588;133299;18
22;POLYGON ((28.175811767578125 -3.056867840329076 0,28.17718505859375 -3.056867840329076 0,28.17718505859375 -3.058239176409387 0,28.175811767578125 -3.058239176409387 0,28.175811767578125 -3.056867840329076 0));151589;133299;18
23;POLYGON ((28.17718505859375 -3.056867840329076 0,28.178558349609375 -3.056867840329076 0,28.178558349609375 -3.058239176409387 0,28.17718505859375 -3.058239176409387 0,28.17718505859375 -3.056867840329076 0));151590;133299;18
24;POLYGON ((28.178558349609375 -3.056867840329076 0,28.179931640625 -3.056867840329076 0,28.179931640625 -3.058239176409387 0,28.178558349609375 -3.058239176409387 0,28.178558349609375 -3.056867840329076 0));151591;133299;18
25;POLYGON ((28.179931640625 -3.056867840329076 0,28.181304931640625 -3.056867840329076 0,28.181304931640625 -3.058239176409387 0,28.179931640625 -3.058239176409387 0,28.179931640625 -3.056867840329076 0));151592;133299;18
26;POLYGON ((28.181304931640625 -3.056867840329076 0,28.18267822265625 -3.056867840329076 0,28.18267822265625 -3.058239176409387 0,28.181304931640625 -3.058239176409387 0,28.181304931640625 -3.056867840329076 0));151593;133299;18
27;POLYGON ((28.18267822265625 -3.056867840329076 0,28.184051513671875 -3.056867840329076 0,28.184051513671875 -3.058239176409387 0,28.18267822265625 -3.058239176409387 0,28.18267822265625 -3.056867840329076 0));151594;133299;18
28;POLYGON ((28.184051513671875 -3.056867840329076 0,28.1854248046875 -3.056867840329076 0,28.1854248046875 -3.058239176409387 0,28.184051513671875 -3.058239176409387 0,28.184051513671875 -3.056867840329076 0));151595;133299;18
29;POLYGON ((28.1854248046875 -3.056867840329076 0,28.186798095703125 -3.056867840329076 0,28.186798095703125 -3.058239176409387 0,28.1854248046875 -3.058239176409387 0,28.1854248046875 -3.056867840329076 0));151596;133299;18
30;POLYGON ((28.186798095703125 -3.056867840329076 0,28.18817138671875 -3.056867840329076 0,28.18817138671875 -3.058239176409387 0,28.186798095703125 -3.058239176409387 0,28.186798095703125 -3.056867840329076 0));151597;133299;18
31;POLYGON ((28.1744384765625 -3.058239176409387 0,28.175811767578125 -3.058239176409387 0,28.175811767578125 -3.059610510736107 0,28.1744384765625 -3.059610510736107 0,28.1744384765625 -3.058239176409387 0));151588;133300;18
32;POLYGON ((28.175811767578125 -3.058239176409387 0,28.17718505859375 -3.058239176409387 0,28.17718505859375 -3.059610510736107 0,28.175811767578125 -3.059610510736107 0,28.175811767578125 -3.058239176409387 0));151589;133300;18
33;POLYGON ((28.17718505859375 -3.058239176409387 0,28.178558349609375 -3.058239176409387 0,28.178558349609375 -3.059610510736107 0,28.17718505859375 -3.059610510736107 0,28.17718505859375 -3.058239176409387 0));151590;133300;18
34;POLYGON ((28.178558349609375 -3.058239176409387 0,28.179931640625 -3.058239176409387 0,28.179931640625 -3.059610510736107 0,28.178558349609375 -3.059610510736107 0,28.178558349609375 -3.058239176409387 0));151591;133300;18
35;POLYGON ((28.179931640625 -3.058239176409387 0,28.181304931640625 -3.058239176409387 0,28.181304931640625 -3.059610510736107 0,28.179931640625 -3.059610510736107 0,28.179931640625 -3.058239176409387 0));151592;133300;18
36;POLYGON ((28.181304931640625 -3.058239176409387 0,28.18267822265625 -3.058239176409387 0,28.18267822265625 -3.059610510736107 0,28.181304931640625 -3.059610510736107 0,28.181304931640625 -3.058239176409387 0));151593;133300;18
37;POLYGON ((28.18267822265625 -3.058239176409387 0,28.184051513671875 -3.058239176409387 0,28.184051513671875 -3.059610510736107 0,28.18267822265625 -3.059610510736107 0,28.18267822265625 -3.058239176409387 0));151594;133300;18
38;POLYGON ((28.184051513671875 -3.058239176409387 0,28.1854248046875 -3.058239176409387 0,28.1854248046875 -3.059610510736107 0,28.184051513671875 -3.059610510736107 0,28.184051513671875 -3.058239176409387 0));151595;133300;18
39;POLYGON ((28.1854248046875 -3.058239176409387 0,28.186798095703125 -3.058239176409387 0,28.186798095703125 -3.059610510736107 0,28.1854248046875 -3.059610510736107 0,28.1854248046875 -3.058239176409387 0));151596;133300;18
40;POLYGON ((28.186798095703125 -3.058239176409387 0,28.18817138671875 -3.058239176409387 0,28.18817138671875 -3.059610510736107 0,28.186798095703125 -3.059610510736107 0,28.186798095703125 -3.058239176409387 0));151597;133300;18
41;POLYGON ((28.1744384765625 -3.059610510736107 0,28.175811767578125 -3.059610510736107 0,28.175811767578125 -3.060981843308483 0,28.1744384765625 -3.060981843308483 0,28.1744384765625 -3.059610510736107 0));151588;133301;18
42;POLYGON ((28.175811767578125 -3.059610510736107 0,28.17718505859375 -3.059610510736107 0,28.17718505859375 -3.060981843308483 0,28.175811767578125 -3.060981843308483 0,28.175811767578125 -3.059610510736107 0));151589;133301;18
43;POLYGON ((28.17718505859375 -3.059610510736107 0,28.178558349609375 -3.059610510736107 0,28.178558349609375 -3.060981843308483 0,28.17718505859375 -3.060981843308483 0,28.17718505859375 -3.059610510736107 0));151590;133301;18
44;POLYGON ((28.178558349609375 -3.059610510736107 0,28.179931640625 -3.059610510736107 0,28.179931640625 -3.060981843308483 0,28.178558349609375 -3.060981843308483 0,28.178558349609375 -3.059610510736107 0));151591;133301;18
45;POLYGON ((28.179931640625 -3.059610510736107 0,28.181304931640625 -3.059610510736107 0,28.181304931640625 -3.060981843308483 0,28.179931640625 -3.060981843308483 0,28.179931640625 -3.059610510736107 0));151592;133301;18
46;POLYGON ((28.181304931640625 -3.059610510736107 0,28.18267822265625 -3.059610510736107 0,28.18267822265625 -3.060981843308483 0,28.181304931640625 -3.060981843308483 0,28.181304931640625 -3.059610510736107 0));151593;133301;18
47;POLYGON ((28.18267822265625 -3.059610510736107 0,28.184051513671875 -3.059610510736107 0,28.184051513671875 -3.060981843308483 0,28.18267822265625 -3.060981843308483 0,28.18267822265625 -3.059610510736107 0));151594;133301;18
48;POLYGON ((28.184051513671875 -3.059610510736107 0,28.1854248046875 -3.059610510736107 0,28.1854248046875 -3.060981843308483 0,28.184051513671875 -3.060981843308483 0,28.184051513671875 -3.059610510736107 0));151595;133301;18
49;POLYGON ((28.1854248046875 -3.059610510736107 0,28.186798095703125 -3.059610510736107 0,28.186798095703125 -3.060981843308483 0,28.1854248046875 -3.060981843308483 0,28.1854248046875 -3.059610510736107 0));151596;133301;18
50;POLYGON ((28.186798095703125 -3.059610510736107 0,28.18817138671875 -3.059610510736107 0,28.18817138671875 -3.060981843308483 0,28.186798095703125 -3.060981843308483 0,28.186798095703125 -3.059610510736107 0));151597;133301;18
51;POLYGON ((28.1744384765625 -3.060981843308483 0,28.175811767578125 -3.060981843308483 0,28.175811767578125 -3.06235317412569 0,28.1744384765625 -3.06235317412569 0,28.1744384765625 -3.060981843308483 0));151588;133302;18
52;POLYGON ((28.175811767578125 -3.060981843308483 0,28.17718505859375 -3.060981843308483 0,28.17718505859375 -3.06235317412569 0,28.175811767578125 -3.06235317412569 0,28.175811767578125 -3.060981843308483 0));151589;133302;18
53;POLYGON ((28.17718505859375 -3.060981843308483 0,28.178558349609375 -3.060981843308483 0,28.178558349609375 -3.06235317412569 0,28.17718505859375 -3.06235317412569 0,28.17718505859375 -3.060981843308483 0));151590;133302;18
54;POLYGON ((28.178558349609375 -3.060981843308483 0,28.179931640625 -3.060981843308483 0,28.179931640625 -3.06235317412569 0,28.178558349609375 -3.06235317412569 0,28.178558349609375 -3.060981843308483 0));151591;133302;18
55;POLYGON ((28.179931640625 -3.060981843308483 0,28.181304931640625 -3.060981843308483 0,28.181304931640625 -3.06235317412569 0,28.179931640625 -3.06235317412569 0,28.179931640625 -3.060981843308483 0));151592;133302;18
56;POLYGON ((28.181304931640625 -3.060981843308483 0,28.18267822265625 -3.060981843308483 0,28.18267822265625 -3.06235317412569 0,28.181304931640625 -3.06235317412569 0,28.181304931640625 -3.060981843308483 0));151593;133302;18
57;POLYGON ((28.18267822265625 -3.060981843308483 0,28.184051513671875 -3.060981843308483 0,28.184051513671875 -3.06235317412569 0,28.18267822265625 -3.06235317412569 0,28.18267822265625 -3.060981843308483 0));151594;133302;18
58;POLYGON ((28.184051513671875 -3.060981843308483 0,28.1854248046875 -3.060981843308483 0,28.1854248046875 -3.06235317412569 0,28.184051513671875 -3.06235317412569 0,28.184051513671875 -3.060981843308483 0));151595;133302;18
59;POLYGON ((28.1854248046875 -3.060981843308483 0,28.186798095703125 -3.060981843308483 0,28.186798095703125 -3.06235317412569 0,28.1854248046875 -3.06235317412569 0,28.1854248046875 -3.060981843308483 0));151596;133302;18
60;POLYGON ((28.186798095703125 -3.060981843308483 0,28.18817138671875 -3.060981843308483 0,28.18817138671875 -3.06235317412569 0,28.186798095703125 -3.06235317412569 0,28.186798095703125 -3.060981843308483 0));151597;133302;18
